unit_id,ori_dg,tf_dg,preferred_orientation,preferred_temporal_frequency,osi_dg,dsi_dg,cv_os_dg,cv_ds_dg,peak_dff_dg
1449,3,3,135.0,8.0,0.4285714285714285,0.0,0.26352313834736485,0.5837562027499716,0.06666666666666667
1450,3,1,135.0,2.0,0.7142857142857142,0.0,0.41761226035642185,0.5559870647801464,0.16
1451,0,2,0.0,4.0,0.33333333333333337,0.0,0.22222222222222218,0.638142379080291,0.10666666666666667
1452,3,4,135.0,15.0,0.30000000000000004,0.0,0.1989241072959351,0.6710945799565268,1.2133333333333334
1453,0,1,0.0,2.0,0.044226044226044266,0.0,0.026361850316865876,0.6514598746473073,11.333333333333334
1454,0,2,0.0,4.0,0.006918238993710683,0.0,0.0043023192618169325,0.6530746190271043,21.346666666666668
1455,3,4,135.0,15.0,0.34265734265734266,0.0,0.1775731993455485,0.6167352573062278,2.56
1456,3,4,135.0,15.0,0.39259259259259266,0.0,0.22750139579839598,0.6119564483144152,1.2533333333333334
1457,2,4,90.0,15.0,0.6363636363636362,0.0,0.5376453291901642,0.7893269351040142,0.12
1458,1,3,45.0,8.0,0.17647058823529407,0.0,0.21213203435596428,0.7584933943038459,0.13333333333333333
1459,1,2,45.0,4.0,0.7070063694267507,0.0,0.44244193554229655,0.7911094100419943,1.7866666666666606
1460,3,4,135.0,15.0,0.3774834437086092,0.0,0.18791776892992917,0.622256273966349,1.3866666666666667
1461,3,4,135.0,15.0,0.6428571428571429,0.0,0.3534090536243709,0.6553771350532395,0.6133333333333333
1462,3,4,135.0,15.0,0.2072072072072072,0.0,0.11861596491485692,0.6503682594827186,1.7866666666666666
1463,0,2,0.0,4.0,0.05424200278164122,0.0,0.02987762363944554,0.6495631556798073,20.213333333333335
1464,3,4,135.0,15.0,0.15245478036175708,0.0,0.08690459519597991,0.647495714495066,11.893333333333333
1465,2,1,90.0,2.0,0.06741003547896599,0.0,0.04660251963240711,0.6560621377628681,14.04
1466,3,4,135.0,15.0,0.2843326885880077,0.0,0.14984051432079812,0.6317619355257647,8.853333333333333
1467,3,4,135.0,15.0,0.32799999999999996,0.0,0.17036574096049806,0.6187309516217143,3.32
1468,3,4,135.0,15.0,0.30434782608695654,0.0,0.14659885047723217,0.6089375752659806,1.2
1469,0,2,0.0,4.0,0.35751295336787564,0.0,0.19044694824686895,0.6447205663484028,1.7466666666666666
1470,0,2,0.0,4.0,0.13113367174280882,0.0,0.06796239595108615,0.6346347270847507,17.826666666666668
1471,0,2,0.0,4.0,0.005066344993968658,0.0,0.005815161303715761,0.6511935913478077,27.773333333333333
1472,3,4,135.0,15.0,0.3069306930693069,0.0,0.17692354014706957,0.6498384730753273,0.88
1473,0,2,0.0,4.0,0.0009768804949527633,0.0,0.0005295173576975983,0.6531482784856468,20.493333333333332
1474,0,1,0.0,2.0,0.006024096385542163,0.0,0.005602636534835998,0.6538450114392831,24.493333333333332
1475,3,4,135.0,15.0,0.168,0.0,0.09158520935997665,0.6404451624662291,1.9466666666666668
1476,1,2,45.0,4.0,0.06843267108167678,0.0,0.036259396000247995,0.6615680876819476,3.226666666666661
1477,0,1,0.0,2.0,0.08800000000000008,0.0,0.046508741367097865,0.6468223712947443,5.44
1478,0,1,0.0,2.0,0.06066291432145089,0.0,0.03475382090253132,0.6410771774821169,11.306666666666667
1479,0,2,0.0,4.0,0.12492997198879549,0.0,0.06524783197864517,0.6441509709619763,13.386666666666667
1480,0,1,0.0,2.0,0.026527331189710582,0.0,0.013809008090544032,0.6504739093659493,34.053333333333335
1481,3,4,135.0,15.0,0.2857142857142857,0.0,0.256124969497314,0.7160126884208794,0.12
1482,3,4,135.0,15.0,0.18978102189781024,0.0,0.10739477643798284,0.6354023876107869,2.1733333333333333
1483,0,2,0.0,4.0,0.7142857142857142,0.0,0.31868871959954903,0.6225364052971509,0.08
1484,0,4,0.0,15.0,0.33333333333333337,0.0,0.3277773886785445,0.7844345445817565,0.08
1485,0,2,0.0,4.0,0.28057553956834536,0.0,0.1637814178268821,0.6475477002462176,1.1866666666666668
1486,0,2,0.0,4.0,0.10677382319173366,0.0,0.05465885478126364,0.6387736958090777,6.426666666666667
1487,0,1,0.0,2.0,0.06134969325153377,0.0,0.032780688713425064,0.6429355662297975,11.533333333333333
1488,0,1,0.0,2.0,0.042667420175190776,0.0,0.02387392734460118,0.6449845699870929,24.6
1489,3,4,135.0,15.0,0.1507840772014475,0.0,0.07808220888911542,0.6361539371468169,19.08
1490,1,1,45.0,2.0,0.07692307692307694,0.0,0.06734350297014742,0.6821023271714629,0.18666666666666668
1491,3,4,135.0,15.0,0.5555555555555555,0.0,0.33153685928125715,0.5976413312118872,0.37333333333333335
1492,2,2,90.0,4.0,1.0,0.0,0.5892556509887897,0.8799363719226233,0.09333333333333334
1493,0,1,0.0,2.0,1.0,0.0,0.47425045578226754,0.5693628184511654,0.10666666666666667
1494,3,2,135.0,4.0,0.19999999999999998,0.0,0.17677669529663687,0.5895263019885025,0.08
1495,0,4,0.0,15.0,0.2941176470588235,0.0,0.25495097567963926,0.6555522384536027,0.14666666666666667
1496,1,3,45.0,8.0,0.7777777777777778,0.0,0.5384615384615384,0.8365002961972584,0.10666666666666667
1497,0,1,0.0,2.0,0.7272727272727273,0.0,0.439968124218911,0.6790455335552872,0.25333333333333335
1498,0,1,0.0,2.0,0.15384615384615388,0.0,0.18027756377319937,0.5876381050399335,0.2
1499,1,4,45.0,15.0,0.16666666666666669,0.0,0.2120912514978817,0.6424549349307103,0.09333333333333334
1500,0,4,0.0,15.0,1.0,0.0,0.58309518948453,0.45592539482248173,0.06666666666666667
1501,3,1,135.0,2.0,0.49999999999999994,0.0,0.39999999999999997,0.6903394400546183,0.08
1502,3,2,135.0,4.0,0.19999999999999998,0.0,0.13975424859373684,0.6122315869867859,0.16
1503,2,1,90.0,2.0,0.5652173913043479,0.0,0.3985741344838153,0.7674605457346615,0.48
1504,1,1,45.0,2.0,0.11111111111111108,0.0,0.10101525445522111,0.6962442734488413,0.06666666666666667
1505,0,1,0.0,2.0,0.19999999999999996,0.0,0.1466560414063036,0.5978595066942889,0.48
1506,1,2,45.0,4.0,0.04761904761904762,0.0,0.028435211211156285,0.6632646438786467,0.5866666666666667
1507,0,3,0.0,8.0,0.53125,0.0,0.37519951654796396,0.7210611179636913,0.6533333333333333
1508,3,1,135.0,2.0,0.09803921568627458,0.0,0.11098801331831304,0.6804943088115363,0.7466666666666667
1509,0,1,0.0,2.0,0.08224442736356649,0.0,0.04210938151573453,0.6431450235170055,9.386666666666667
1510,0,1,0.0,2.0,0.16559691912708607,0.0,0.0901307942824056,0.6411711599668836,6.053333333333334
1511,0,2,0.0,4.0,0.1454545454545454,0.0,0.08299482848376477,0.6486003529584405,22.68
1512,0,4,0.0,15.0,0.19642857142857145,0.0,0.13153341044116404,0.6124733045506702,0.8933333333333333
1513,3,4,135.0,15.0,0.17025641025641022,0.0,0.09568826175613336,0.6464894582750358,15.213333333333333
1514,0,1,0.0,2.0,0.02598774561588845,0.0,0.01578328811626393,0.647443305300756,32.373333333333335
